446662,4/26/2017,CLW,90.00000,MG/L
446663,5/5/2017,CLW,16.00000,MG/L
446664,6/1/2017,CLW,33.20000,MG/L
446665,6/26/2017,CLW,65.00000,MG/L
446666,7/25/2017,CLW,39.50000,MG/L
446667,7/28/2017,CLW,6.54000,MG/L
446668,7/29/2017,CLW,17.20000,MG/L
446669,8/22/2017,CLW,73.30000,MG/L
446670,9/27/2017,CLW,115.00000,MG/L
446671,10/26/2016,CLW,147.00000,MG/L
446672,11/28/2016,CLW,124.00000,MG/L
446673,11/29/2016,CLW,77.30000,MG/L
446674,11/30/2016,CLW,15.80000,MG/L
446675,12/14/2016,CLW,176.00000,MG/L
446676,1/3/2017,CLW,45.40000,MG/L
446677,1/23/2017,CLW,209.00000,MG/L
446678,1/31/2017,CLW,362.00000,MG/L
446679,3/6/2017,CLW,299.00000,MG/L
446680,3/28/2017,CLW,445.00000,MG/L
446681,3/31/2017,CLW,78.20000,MG/L
446682,4/25/2017,CLW,153.00000,MG/L
446682,4/25/2017,CLW,153.00000,MG/L
446683,5/5/2017,CLW,68.90000,MG/L
446684,5/31/2017,CLW,204.00000,MG/L
446685,6/13/2017,CLW,278.00000,MG/L
446687,7/25/2017,CLW,179.00000,MG/L
446688,9/5/2017,CLW,223.00000,MG/L
446689,9/26/2017,CLW,290.00000,MG/L
446690,10/26/2016,CLW,80.30000,MG/L
446691,11/28/2016,CLW,82.60000,MG/L
446692,11/30/2016,CLW,41.50000,MG/L
446693,12/14/2016,CLW,68.10000,MG/L
446694,1/3/2017,CLW,17.50000,MG/L
446695,1/23/2017,CLW,54.00000,MG/L
446696,1/31/2017,CLW,210.00000,MG/L
446697,2/28/2017,CLW,78.80000,MG/L
446698,3/28/2017,CLW,108.00000,MG/L
446699,3/31/2017,CLW,25.20000,MG/L
446700,4/25/2017,CLW,60.30000,MG/L
446701,5/5/2017,CLW,11.20000,MG/L
446702,5/31/2017,CLW,61.50000,MG/L
446703,6/26/2017,CLW,64.00000,MG/L
446704,7/6/2017,CLW,17.20000,MG/L
446705,7/27/2017,CLW,66.90000,MG/L
446706,8/23/2017,CLW,69.30000,MG/L
446707,9/26/2017,CLW,71.70000,MG/L
452908,10/24/2017,CLW,114.00000,MG/L
452909,10/30/2017,CLW,25.30000,MG/L
452910,11/30/2017,CLW,104.00000,MG/L
452911,12/21/2017,CLW,127.00000,MG/L
452912,1/25/2018,CLW,387.00000,MG/L
452913,2/11/2018,CLW,81.90000,MG/L
452913,2/11/2018,CLW,80.60000,MG/L
452914,2/21/2018,CLW,240.00000,MG/L
452915,3/23/2018,CLW,624.00000,MG/L
452916,3/28/2018,CLW,185.00000,MG/L
452917,4/16/2018,CLW,53.20000,MG/L
452918,4/27/2018,CLW,43.90000,MG/L
452919,4/30/2018,CLW,88.00000,MG/L
452920,5/18/2018,CLW,26.80000,MG/L
452920,5/18/2018,CLW,27.40000,MG/L
452921,5/30/2018,CLW,87.10000,MG/L
452922,6/11/2018,CLW,56.50000,MG/L
452923,6/20/2018,CLW,80.20000,MG/L
452924,7/12/2018,CLW,124.00000,MG/L
452925,7/23/2018,CLW,18.80000,MG/L
452927,8/21/2018,CLW,87.90000,MG/L
452928,8/22/2018,CLW,16.70000,MG/L
452929,9/12/2018,CLW,43.40000,MG/L
452930,9/13/2018,CLW,26.00000,MG/L
452931,11/1/2017,CLW,201.00000,MG/L
452932,11/7/2017,CLW,23.40000,MG/L
452933,12/21/2017,CLW,249.00000,MG/L
452934,1/12/2018,CLW,1267.00000,MG/L
452935,1/25/2018,CLW,571.00000,MG/L
452937,2/10/2018,CLW,476.00000,MG/L
452938,2/21/2018,CLW,330.00000,MG/L
452939,3/20/2018,CLW,114.00000,MG/L
452940,3/28/2018,CLW,142.00000,MG/L
452941,4/16/2018,CLW,82.50000,MG/L
452942,4/18/2018,CLW,264.00000,MG/L
452943,5/18/2018,CLW,91.20000,MG/L
452944,5/23/2018,CLW,125.00000,MG/L
452945,6/19/2018,CLW,286.00000,MG/L
452946,7/11/2018,CLW,82.70000,MG/L
452947,8/21/2018,CLW,283.00000,MG/L
452948,9/17/2018,CLW,108.00000,MG/L
452949,9/24/2018,CLW,54.60000,MG/L
452950,9/28/2018,CLW,53.40000,MG/L
452951,11/1/2017,CLW,61.80000,MG/L
452952,11/7/2017,CLW,44.40000,MG/L
452953,11/29/2017,CLW,70.80000,MG/L
452954,12/21/2017,CLW,91.30000,MG/L
452955,1/12/2018,CLW,474.00000,MG/L
452955,1/12/2018,CLW,477.00000,MG/L
452956,1/25/2018,CLW,117.00000,MG/L
452957,2/10/2018,CLW,208.00000,MG/L
452958,2/21/2018,CLW,128.00000,MG/L
452959,3/20/2018,CLW,85.80000,MG/L
452960,3/28/2018,CLW,599.00000,MG/L
452961,4/16/2018,CLW,35.70000,MG/L
452962,4/18/2018,CLW,99.00000,MG/L
452963,5/18/2018,CLW,12.50000,MG/L
452964,5/23/2018,CLW,62.80000,MG/L
452965,6/19/2018,CLW,81.50000,MG/L
452966,7/11/2018,CLW,78.90000,MG/L
452967,7/24/2018,CLW,14.20000,MG/L
452968,8/21/2018,CLW,76.20000,MG/L
452969,9/24/2018,CLW,30.60000,MG/L
452970,9/28/2018,CLW,27.00000,MG/L
461670,10/4/2018,CLW,51.40000,MG/L
461671,11/1/2018,CLW,82.30000,MG/L
461672,11/5/2018,CLW,27.80000,MG/L
461673,12/6/2018,CLW,83.70000,MG/L
461674,2/6/2019,CLW,187.00000,MG/L
461675,2/24/2019,CLW,193.00000,MG/L
461676,3/4/2019,CLW,119.00000,MG/L
461677,3/6/2019,CLW,154.00000,MG/L
461678,3/21/2019,CLW,102.00000,MG/L
461679,4/4/2019,CLW,102.00000,MG/L
461680,5/5/2019,CLW,65.50000,MG/L
461681,5/9/2019,CLW,74.50000,MG/L
461682,6/6/2019,CLW,88.40000,MG/L
461683,7/8/2019,CLW,12.10000,MG/L
461684,7/11/2019,CLW,46.30000,MG/L
461685,8/5/2019,CLW,57.00000,MG/L
461686,8/22/2019,CLW,19.70000,MG/L
461687,8/23/2019,CLW,45.90000,MG/L
461688,9/5/2019,CLW,101.00000,MG/L
461689,10/11/2018,CLW,75.50000,MG/L
461690,11/6/2018,CLW,12.00000,MG/L
461691,11/19/2018,CLW,154.00000,MG/L
461692,12/18/2018,CLW,125.00000,MG/L
461693,2/5/2019,CLW,492.00000,MG/L
461694,3/11/2019,CLW,271.00000,MG/L
461695,3/21/2019,CLW,145.00000,MG/L
461696,4/4/2019,CLW,231.00000,MG/L
461697,4/19/2019,CLW,150.00000,MG/L
461698,6/4/2019,CLW,205.00000,MG/L
461699,7/2/2019,CLW,240.00000,MG/L
461700,7/8/2019,CLW,24.30000,MG/L
461701,8/5/2019,CLW,179.00000,MG/L
